Name,Options,Score,Rank
50Г БАТОНЧИК BE-KIND ПРОТЕИН ГОРЬК ШОКОЛАД,"Snickers 6 * 48 * 50.5g RU, BY, KZ, AM, KG",33.39052287581699,1
50Г БАТОНЧИК BE-KIND ПРОТЕИН ГОРЬК ШОКОЛАД,Snickers 6 * 48 * 50.5g RU,29.29292929292929,2
50Г БАТОНЧИК BE-KIND ПРОТЕИН ГОРЬК ШОКОЛАД,Dove milk plain 16 * 90g,29.29148629148629,3
50Г БАТОНЧИК BE-KIND ПРОТЕИН КАРАМЕЛЬ,"Snickers 6 * 48 * 50.5g RU, BY, KZ, AM, KG",33.39052287581699,1
50Г БАТОНЧИК BE-KIND ПРОТЕИН КАРАМЕЛЬ,Snickers 6 * 48 * 50.5g RU,29.29292929292929,2
50Г БАТОНЧИК BE-KIND ПРОТЕИН КАРАМЕЛЬ,Dove milk plain 16 * 90g,29.29148629148629,3
A.KORKUNOV AST (W) DK/MK 10*190G,A.Korkunov assor DrkMilk 10 * 192g,77.51527777777778,1
A.KORKUNOV AST (W) DK/MK 10*190G,A.Korkunov Assorted 10 * 126g,76.60846560846561,2
A.KORKUNOV AST (W) DK/MK 10*190G,A.KORKUNOV Assorted dark 10 * 192g,76.58333333333333,3
A.KORKUNOV NUT COLLECTION 10*110G,A.Korkunov Nut Collection 10 * 110g,100.0,1
A.KORKUNOV NUT COLLECTION 10*110G,A.Korkunov Nut Collection 10 * 192g,93.26262626262626,2
A.KORKUNOV NUT COLLECTION 10*110G,A.Korkunov Collection Milk 10 * 110g,89.74925727866905,3
A.Korkunov 109g Heart,A.Korkunov Heart 7 * 120g,82.07315389924086,1
A.Korkunov 109g Heart,A.Korkunov Assorted 18 * 90g,72.23870573870575,2
A.Korkunov 109g Heart,A.KORKUNOV Assorted dark 10 * 192g,72.1765873015873,3
A.Korkunov 110g Silver Spring,A.Korkunov Silver Spring 7 * 110g,86.88676877442172,1
A.Korkunov 110g Silver Spring,A.Korkunov Silver NY 8 * 110g,79.22158365261814,2
A.Korkunov 110g Silver Spring,A.Korkunov Vase Spring 4 * 229g,72.39605197401299,3
A.Korkunov 118g Milk & Dark bag,Korkunov Milk / Dark bag 12 * 118g,77.74025974025973,1
A.Korkunov 118g Milk & Dark bag,A.KORKUNOV Milk assorted 10 * 192g,70.32776130873957,2
A.Korkunov 118g Milk & Dark bag,A.Korkunov Milk Assorted 14 * 110g,70.32776130873957,3
A.Korkunov 118g Mono Milk,A.Korkunov Mono milk 10 * 192g,83.89047619047619,1
A.Korkunov 118g Mono Milk,Korkunov Milk Mono Bag 12 * 118g,75.67003367003367,2
A.Korkunov 118g Mono Milk,A.Korkunov HM Mono Sharlotka 448g,72.52020202020202,3
A.Korkunov 118g Mono Milk bag,A.Korkunov Mono milk 10 * 192g,81.74975369458129,1
A.Korkunov 118g Mono Milk bag,Korkunov Milk Mono Bag 12 * 118g,78.18882011985461,2
A.Korkunov 118g Mono Milk bag,A.Korkunov HM Mono Sharlotka 448g,70.40893946965912,3
A.Korkunov 118g Spring Lenta,A.Korkunov Silver Spring 7 * 110g,76.22706325932133,1
A.Korkunov 118g Spring Lenta,A.Korkunov Vase Spring 4 * 229g,73.92966611932128,2
A.Korkunov 118g Spring Lenta,A.Korkunov Premium Spring 10 * 256g,73.41702741702743,3
A.Korkunov 120g NY Big clock,A.Korkunov Heart 7 * 120g,70.06600901230057,1
A.Korkunov 120g NY Big clock,A.Korkunov Silver NY 8 * 110g,69.29100529100529,2
A.Korkunov 120g NY Big clock,A.Korkunov ass New Year col 10 * 120g,67.86507936507937,3
A.Korkunov 154g NY Tree,A.Korkunov Silver NY 8 * 110g,73.08175834110234,1
A.Korkunov 154g NY Tree,A.Korkunov ass New Year's number 18 * 154g,71.25684380032206,2
A.Korkunov 154g NY Tree,A.Korkunov Bel.collekts 14 * 108g prnt,67.9170692431562,3
A.Korkunov 172g NY Centerpiece,A.Korkunov Silver NY 8 * 110g,67.85802469135803,1
A.Korkunov 172g NY Centerpiece,A.Korkunov Heart 7 * 120g,64.28743961352657,2
A.Korkunov 172g NY Centerpiece,A.Korkunov ass New Year count 15 * 86g,63.63492063492063,3
A.Korkunov 17g NY LittMix,A.Korkunov Silver NY 8 * 110g,70.06666666666666,1
A.Korkunov 17g NY LittMix,A.Korkunov milk chocolate 30 * 17g,66.13112745098039,2
A.Korkunov 17g NY LittMix,A.Korkunov Mono milk 10 * 192g,65.82063492063493,3
A.Korkunov 189g Spring,A.Korkunov Vase Spring 4 * 229g,80.86971346862454,1
A.Korkunov 189g Spring,A.Korkunov Stick Spring 22 * ​​73g,79.8056884635832,2
A.Korkunov 189g Spring,A.Korkunov Silver Spring 7 * 110g,79.7288161753357,3
A.Korkunov 192g Mono Milk,A.Korkunov Mono milk 10 * 192g,86.30952380952381,1
A.Korkunov 192g Mono Milk,A.Korkunov pre-pack mono 40 * 192g D,78.12766884531591,2
A.Korkunov 192g Mono Milk,A.KORKUNOV Milk assorted 10 * 192g,73.65285087719299,3
A.Korkunov 204g White Spring,A.Korkunov White collection 14 * 204g,74.29004329004329,1
A.Korkunov 204g White Spring,A.Korkunov Vase Spring 4 * 229g,74.04172264517092,2
A.Korkunov 204g White Spring,A.Korkunov Stick Spring 22 * ​​73g,73.56901311249138,3
A.Korkunov 230g Rosso,A.Korkunov Heart 7 * 120g,69.44185645272601,1
A.Korkunov 230g Rosso,A.Korkunov Assorted 20 * 90g,69.08334939913887,2
A.Korkunov 230g Rosso,A.KORKUNOV Milk assorted 10 * 192g,68.91042250233427,3
A.Korkunov 256g Premium Spring,A.Korkunov Premium Spring 10 * 256g,86.36307519640853,1
A.Korkunov 256g Premium Spring,A.Korkunov Vase Spring 4 * 229g,71.68530128874956,2
A.Korkunov 256g Premium Spring,A.Korkunov Stick Spring 22 * ​​73g,70.93434343434343,3
A.Korkunov 257g NY Vase,A.Korkunov Silver NY 8 * 110g,72.7308811481199,1
A.Korkunov 257g NY Vase,A.Korkunov Vase Spring 4 * 229g,72.56911018175123,2
A.Korkunov 257g NY Vase,A.Korkunov ass New Year's number 7 * 257g,69.04155828068872,3
A.Korkunov 32g White Spring,A.Korkunov Vase Spring 4 * 229g,74.97205774217268,1
A.Korkunov 32g White Spring,A.Korkunov White collection 28 * 32g,74.61533637023832,2
A.Korkunov 32g White Spring,A.Korkunov Stick Spring 22 * ​​73g,74.17042404723564,3
A.Korkunov 52g NY Pouch,A.Korkunov ass Nov col pauch 14 * 51g,71.21226980494716,1
A.Korkunov 52g NY Pouch,A.Korkunov Silver NY 8 * 110g,71.02576489533011,2
A.Korkunov 52g NY Pouch,A.Korkunov Gorky Shock 55% NG 14 * 90g,68.30331262939958,3
A.Korkunov 64g Heart Red Spring,A.Korkunov Heart 7 * 120g,74.9282128884624,1
A.Korkunov 64g Heart Red Spring,A.Korkunov Premium Spring 10 * 256g,71.21664045787468,2
A.Korkunov 64g Heart Red Spring,A.Korkunov Silver Spring 7 * 110g,70.88826554464703,3
A.Korkunov 75g Heart White Spring,A.Korkunov Heart 7 * 120g,74.25208607817304,1
A.Korkunov 75g Heart White Spring,A.Korkunov Vase Spring 4 * 229g,71.553867005891,2
A.Korkunov 75g Heart White Spring,A.Korkunov Stick Spring 22 * ​​73g,71.15415019762845,3
A.Korkunov 81g White Spring,A.Korkunov Vase Spring 4 * 229g,73.70479839445356,1
A.Korkunov 81g White Spring,A.Korkunov Stick Spring 22 * ​​73g,73.55443322109988,2
A.Korkunov 81g White Spring,A.Korkunov Silver Spring 7 * 110g,73.30891350783824,3
A.Korkunov 84g Spring Ball,A.Korkunov Vase Spring 4 * 229g,75.09167269512098,1
A.Korkunov 84g Spring Ball,A.Korkunov Stick Spring 22 * ​​73g,74.45299145299145,2
A.Korkunov 84g Spring Ball,A.Korkunov Silver Spring 7 * 110g,74.30751506557958,3
A.Korkunov 86g NY,A.Korkunov Silver NY 8 * 110g,78.34858387799564,1
A.Korkunov 86g NY,A.Korkunov ass New Year count 15 * 86g,75.54139433551198,2
A.Korkunov 86g NY,A.Korkunov Assorted 18 * 90g,70.80187459599225,3
A.Korkunov 86g NY Ball,A.Korkunov ass Nov col ball 10 * 120g,74.88600288600288,1
A.Korkunov 86g NY Ball,A.Korkunov Silver NY 8 * 110g,71.4784445764838,2
A.Korkunov 86g NY Ball,A.Korkunov ass New Year count 15 * 86g,69.70398428731762,3
A.Korkunov 90g Raspberry Spring,A.Korkunov Silver Spring 7 * 110g,74.03319308087892,1
A.Korkunov 90g Raspberry Spring,A.Korkunov Vase Spring 4 * 229g,73.37041962889522,2
A.Korkunov 90g Raspberry Spring,A.Korkunov Premium Spring 10 * 256g,71.3104431410883,3
A.Korkunov 90g Strawberry Spring,A.Korkunov Vase Spring 4 * 229g,72.98154047976011,1
A.Korkunov 90g Strawberry Spring,A.Korkunov Stick Spring 22 * ​​73g,71.31186868686869,2
A.Korkunov 90g Strawberry Spring,A.Korkunov Silver Spring 7 * 110g,71.14431393174381,3
A.Korkunov 92g Spring Auchan,A.Korkunov Vase Spring 4 * 229g,75.05687416032244,1
A.Korkunov 92g Spring Auchan,A.Korkunov Stick Spring 22 * ​​73g,73.95743145743147,2
A.Korkunov 92g Spring Auchan,A.Korkunov Silver Spring 7 * 110g,72.86482334869432,3
A.Korkunov Arriero Window 12*200g,A.KORKUNOV DOMINGO 8 * 12 * 42G,71.03955009027473,1
A.Korkunov Arriero Window 12*200g,A.Korkunov assorted 12 * 192g X5,70.9874835309618,2
A.Korkunov Arriero Window 12*200g,A.Korkunov Assorted 12 * 117g,70.91221741221742,3
A.Korkunov Assorted 108g NY,A.Korkunov Assorted 18 * 90g,84.52488129154796,1
A.Korkunov Assorted 108g NY,A.Korkunov Assorted 10 * 126g,83.28703703703704,2
A.Korkunov Assorted 108g NY,A.Korkunov assorted 10 * 192g X5,82.49074074074075,3
A.Korkunov Assorted 108g Spring,A.Korkunov Assorted 18 * 90g,81.12663358147229,1
A.Korkunov Assorted 108g Spring,A.Korkunov Assorted 10 * 126g,79.9047192353644,2
A.Korkunov Assorted 108g Spring,A.Korkunov assorted 10 * 192g X5,79.60842293906809,3
A.Korkunov Assorted 110g,A.Korkunov Milk Assorted 14 * 110g,93.11111111111113,1
A.Korkunov Assorted 110g,A.Korkunov Assorted 18 * 90g,89.80982905982906,2
A.Korkunov Assorted 110g,A.Korkunov Assorted theme mol 14 * 110g,89.49549549549549,3
A.Korkunov Assorted 110g SPRING,A.Korkunov Milk Assorted 14 * 110g,83.99233870967741,1
A.Korkunov Assorted 110g SPRING,A.Korkunov Assorted theme mol 14 * 110g,81.840424295263,2
A.Korkunov Assorted 110g SPRING,A.Korkunov Assorted 18 * 90g,81.01867934932451,3
A.Korkunov Assorted 117g NY,A.Korkunov Assorted 12 * 117g,89.57283950617284,1
A.Korkunov Assorted 117g NY,A.Korkunov Assorted 10 * 126g,83.28703703703704,2
A.Korkunov Assorted 117g NY,A.Korkunov assorted 10 * 192g X5,82.49074074074075,3
A.Korkunov Assorted 120 g NY Tree,A.Korkunov Assorted 20 * 90g,80.0011655011655,1
A.Korkunov Assorted 120 g NY Tree,A.Korkunov Assorted 10 * 126g,79.31167227833895,2
A.Korkunov Assorted 120 g NY Tree,A.Korkunov Assorted 12 * 117g,79.22053872053873,3
A.Korkunov Assorted 126g NY,A.Korkunov Assorted 10 * 126g,89.57283950617284,1
A.Korkunov Assorted 126g NY,A.Korkunov Assorted 12 * 117g,82.62037037037037,2
A.Korkunov Assorted 126g NY,A.KORKUNOV Assorted mol 10 * 256g,82.5079251294305,3
A.Korkunov Assorted 126g Spring Sml octahedron,A.Korkunov Assorted 10 * 126g,75.96468062265164,1
A.Korkunov Assorted 126g Spring Sml octahedron,A.Korkunov Assorted 12 * 117g,74.39653784219001,2
A.Korkunov Assorted 126g Spring Sml octahedron,A.Korkunov Assorted 18 * 90g,74.1371237458194,3
A.Korkunov Assorted 160g Spring Big octahed,A.Korkunov Assorted 18 * 90g,76.46516597097992,1
A.Korkunov Assorted 160g Spring Big octahed,A.Korkunov Assorted 10 * 126g,76.09107091587713,2
A.Korkunov Assorted 160g Spring Big octahed,A.Korkunov Assorted 20 * 90g,75.25340281558684,3
A.Korkunov Assorted 160g Spring Big octahedron,A.Korkunov Assorted 18 * 90g,75.34383128948346,1
A.Korkunov Assorted 160g Spring Big octahedron,A.Korkunov Assorted 10 * 126g,74.96468062265164,2
A.Korkunov Assorted 160g Spring Big octahedron,A.Korkunov Assorted 20 * 90g,74.1371237458194,3
A.Korkunov Assorted 160g Spring Sml octahedron,A.Korkunov Assorted 18 * 90g,75.34383128948346,1
A.Korkunov Assorted 160g Spring Sml octahedron,A.Korkunov Assorted 10 * 126g,74.96468062265164,2
A.Korkunov Assorted 160g Spring Sml octahedron,A.Korkunov Assorted 20 * 90g,74.1371237458194,3
A.Korkunov Assorted 192g K&B,A.Korkunov assorted 10 * 192g X5,88.2641975308642,1
A.Korkunov Assorted 192g K&B,A.Korkunov assorted 12 * 192g X5,88.2641975308642,2
A.Korkunov Assorted 192g K&B,A.KORKUNOV Assorted dark 10 * 192g,87.7002611585945,3
A.Korkunov Assorted 192g Tander,A.Korkunov assortment 12 * 192g Tander,89.72580645161291,1
A.Korkunov Assorted 192g Tander,A.Korkunov assorted 10 * 192g X5,85.86594982078854,2
A.Korkunov Assorted 192g Tander,A.Korkunov assorted 12 * 192g X5,85.86594982078854,3
A.Korkunov Assorted 250g,A.Korkunov Assorted 20 * 90g,89.80982905982906,1
A.Korkunov Assorted 250g,A.Korkunov Assorted 18 * 90g,87.54273504273505,2
A.Korkunov Assorted 250g,A.Korkunov Assorted 10 * 126g,86.55568974771874,3
A.Korkunov Assorted 253g Spring,A.Korkunov Assorted 20 * 90g,79.27690869205595,1
A.Korkunov Assorted 253g Spring,A.Korkunov Assorted 10 * 126g,78.66769691617752,2
A.Korkunov Assorted 253g Spring,A.Korkunov Assorted 18 * 90g,78.03458906684713,3
A.Korkunov Assorted 259g,A.Korkunov Assorted 20 * 90g,89.80982905982906,1
A.Korkunov Assorted 259g,A.Korkunov Assorted 18 * 90g,87.54273504273505,2
A.Korkunov Assorted 259g,A.Korkunov Assorted 10 * 126g,86.43827160493827,3
A.Korkunov Assorted 280g,A.Korkunov Assorted 18 * 90g,89.80982905982906,1
A.Korkunov Assorted 280g,A.Korkunov Assorted 20 * 90g,89.80982905982906,2
A.Korkunov Assorted 280g,A.Korkunov Assorted 10 * 126g,86.55568974771874,3
A.Korkunov Assorted 300g Best,A.Korkunov Assorted 20 * 90g,82.69665487768937,1
A.Korkunov Assorted 300g Best,A.Korkunov Assorted 18 * 90g,80.4474685734056,2
A.Korkunov Assorted 300g Best,A.Korkunov Assorted 10 * 126g,79.83825679752717,3
A.Korkunov Assorted 49g White Spring,A.Korkunov Assorted 18 * 90g,76.9334200421157,1
A.Korkunov Assorted 49g White Spring,A.Korkunov Assorted 20 * 90g,76.9334200421157,2
A.Korkunov Assorted 49g White Spring,A.Korkunov Assorted 10 * 126g,75.10157126823793,3
A.Korkunov Assorted 54g NY,A.Korkunov Assorted 18 * 90g,80.9895104895105,1
