Segment,Retailer,Manufacturer,Brand,APN,Year,Month,Sales_max,Sales_min,Sales_mean,Sales_std,Sales_median,Unit_sales_max,Unit_sales_min,Unit_sales_mean,Unit_sales_std,Unit_sales_median
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,4,704.84,517.28,583.784,79.10126345387927,539.78,196.0,144.0,162.4,21.87007087322764,150.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,5,727.18,567.73,628.7925,69.85688196830235,610.13,226.0,164.0,187.5,29.422213830143146,180.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,6,734.02,661.3,690.2574999999999,32.79724416776511,682.855,205.0,184.0,192.25,9.535023160258536,190.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,7,726.01,499.81,609.1719999999999,102.2100497505015,593.82,258.0,182.0,211.2,29.5584167370311,208.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,8,933.1,475.75,721.92,226.3302052312064,739.415,398.0,174.0,292.0,113.54881475970295,298.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,9,1045.3,570.26,808.2049999999999,267.4152347318056,808.6300000000001,446.0,208.0,327.0,133.99004938178555,327.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,10,567.43,247.5,407.5179999999999,123.29742320908407,378.52,207.0,90.0,148.4,45.02554830315785,138.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,11,1211.88,839.38,1087.77,168.82820025102444,1149.91,441.0,306.0,396.25,61.32087735836793,419.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2017,12,1683.28,803.19,1307.282,338.9519427145978,1417.68,718.0,293.0,516.2,167.91873034298467,518.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,1,819.61,508.63,651.42,155.88114318287506,638.72,298.0,187.0,237.75,55.65593708970619,233.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,2,1495.65,674.86,1087.0900000000001,365.5477985161448,1088.925,624.0,247.0,433.5,174.4333683674084,431.5
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,3,1404.52,638.08,899.61,349.47591304695095,777.92,512.0,232.0,327.5,127.69886452118516,283.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,4,1515.77,1113.61,1367.7459999999999,151.85203860995756,1402.66,559.0,405.0,499.4,57.24770737767584,511.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,5,2042.51,1461.71,1735.355,305.112285833702,1718.6,857.0,532.0,687.0,171.9321571628375,679.5
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,6,1546.59,1322.11,1449.9374999999998,93.54157199698257,1465.525,563.0,490.0,530.5,30.18277654557314,534.5
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,7,1812.75,1056.44,1449.136,290.62304783000263,1413.81,660.0,396.0,531.2,101.85136228838573,521.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,8,1901.79,1684.82,1800.715,98.46810668096212,1808.125,692.0,613.0,655.5,35.78174581170312,658.5
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,9,2793.05,1785.76,2188.848,398.27277947406856,2186.3,1211.0,651.0,871.2,235.07488168666598,804.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,10,1984.44,1728.32,1892.7525,113.05975805593553,1929.125,733.0,632.0,692.25,42.867042507424436,702.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,11,2200.94,1799.5,1992.52,201.63972822834302,1984.8200000000002,951.0,656.0,795.5,154.25195838843237,787.5
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2018,12,1875.62,1106.16,1622.792,308.6765467605208,1741.28,684.0,403.0,591.6,112.87736708481468,634.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2019,1,2057.28,1359.82,1766.7625000000003,293.2675329654933,1824.975,907.0,510.0,751.0,169.5582495781317,793.5
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2019,2,2086.1,1586.15,1906.6974999999998,227.5140765425295,1977.27,917.0,588.0,807.25,150.19847979701171,862.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2019,3,1577.1,1342.57,1456.078,92.12385993867166,1422.99,574.0,489.0,530.4,33.29864862122786,519.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2019,4,1529.01,1252.94,1392.435,132.23156468861734,1393.895,561.0,458.0,508.75,48.67151802303545,508.0
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,655956000019,2019,5,1467.76,1346.71,1420.5875,53.47771521858425,1433.94,542.0,490.0,519.0,22.06052281036573,522.0
