Segment,Retailer,Manufacturer,Brand,PPG_Item_No,# of consecutive missing days,# of missing instances
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,Item_655956000019,4+,22
Bitesize,Coles,All Other Manufacturer,Cookie Dough Bites,Item_655956000019,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Hersheys,Item_10700021526,4+,22
Bitesize,Coles,All Other Manufacturer,Hersheys,Item_10700021526,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Hersheys,Item_34000134106,4+,22
Bitesize,Coles,All Other Manufacturer,Hersheys,Item_34000134106,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Junior Mints,Item_71720539446,4+,22
Bitesize,Coles,All Other Manufacturer,Junior Mints,Item_71720539446,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220589,4+,22
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220589,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220596,4+,22
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220596,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220602,4+,22
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220602,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220619,4+,22
Bitesize,Coles,All Other Manufacturer,Patons,Item_9315536220619,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Reese's,Item_34000446001,4+,22
Bitesize,Coles,All Other Manufacturer,Reese's,Item_34000446001,Total missing days,154 days 00:00:00
Bitesize,Coles,All Other Manufacturer,Reese's,Item_34000453504,4+,22
Bitesize,Coles,All Other Manufacturer,Reese's,Item_34000453504,Total missing days,154 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910635,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910635,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910642,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910642,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910659,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910659,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910666,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910666,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910673,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910673,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910697,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910697,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910727,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910727,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910734,4+,8
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881910734,Total missing days,56 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881965543,4+,22
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881965543,Total missing days,154 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881965550,4+,22
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881965550,Total missing days,154 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881980140,4-12,17
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881980140,12+,2
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881980140,Total missing days,147 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881980157,4-12,16
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881980157,12+,1
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881980157,Total missing days,133 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881981208,4+,22
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881981208,Total missing days,154 days 00:00:00
Bitesize,Coles,Darrell Lea,Darrell Lea,Item_9310881981215,4+,22
